CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName
Palestine,Jerusalem,31.76666667,35.233333,PS,Asia
Albania,Tirana,41.31666667,19.816667,AL,Europe
Algeria,Algiers,36.75,3.05,DZ,Africa
Australia,Canberra,-35.26666667,149.133333,AU,Australia
Belize,Belmopan,17.25,-88.766667,BZ,Central America
Bhutan,Thimphu,27.46666667,89.633333,BT,Asia
Botswana,Gaborone,-24.63333333,25.9,BW,Africa
Cambodia,Phnom Penh,11.55,104.916667,KH,Asia
Republic of Congo,Brazzaville,-4.25,15.283333,CG,Africa
Cote d'Ivoire,Yamoussoukro,6.816666667,-5.266667,CI,Africa
Estonia,Tallinn,59.43333333,24.716667,EE,Europe
France,Paris,48.86666667,2.333333,FR,Europe
The Gambia,Banjul,13.45,-16.566667,GM,Africa
Georgia,Tbilisi,41.68333333,44.833333,GE,Europe
Germany,Berlin,52.51666667,13.4,DE,Europe
Greenland,Nuuk,64.18333333,-51.75,GL,Central America
Grenada,Saint George's,12.05,-61.75,GD,North America
Isle of Man,Douglas,54.15,-4.483333,IM,Europe
Israel,Jerusalem,31.76666667,35.233333,IL,Asia
Italy,Rome,41.9,12.483333,IT,Europe
South Korea,Seoul,37.55,126.983333,KR,Asia
Libya,Tripoli,32.88333333,13.166667,LY,Africa
Malaysia,Kuala Lumpur,3.166666667,101.7,MY,Asia
Monaco,Monaco,43.73333333,7.416667,MC,Europe
